Ano,Trimestre,Mês,Dia,Sexo,Nome,Código Cliente,Nº de Filhos,E-mail
1950,Trim 1,janeiro,13,Masculino,Bruno Oliveira,743,0,bruno10@outlook.com
1950,Trim 1,fevereiro,1,Masculino,Rubens Valente,117,0,rubens31@icloud.com.br
1950,Trim 1,março,9,Feminino,Raissa Pinheiro,243,2,raissa17@msn.com.br
1950,Trim 2,abril,11,Masculino,Roberto Mattos,424,4,roberto60@hotmail.com.br
1950,Trim 2,abril,15,Feminino,Ana Soledade,123,1,ana9@uol.com.br
1950,Trim 2,junho,4,Feminino,Julia Penteado,17,0,julia36@terra.com.br
1950,Trim 3,julho,13,Masculino,Bernardo Ribeiro,481,2,bernardo41@hotmail.com.br
1950,Trim 3,julho,17,Masculino,Gabriel Garcia,676,1,gabriel67@yahoo.com
1950,Trim 3,agosto,16,Feminino,Marina Marins,622,4,marina23@terra.com
1950,Trim 3,agosto,31,Feminino,Gabrielle Silva,96,3,gabrielle45@gmail.com.br
1950,Trim 3,setembro,4,Masculino,Lucas Costa,772,0,lucas6@terra.com.br
1950,Trim 4,outubro,4,Masculino,João Guadagnino,815,0,joão45@msn.com.br
1950,Trim 4,outubro,7,Feminino,Jéssica Stefanelli,440,0,jéssica27@uol.com
1950,Trim 4,novembro,16,Masculino,Felipe Mendonça,751,3,felipe42@msn.com
1950,Trim 4,novembro,19,Feminino,Larissa Florim,35,0,larissa64@outlook.com.br
1950,Trim 4,dezembro,31,Feminino,Jéssica Resinente,45,3,jéssica61@gmail.com.br
1951,Trim 1,janeiro,17,Feminino,Desirée Heimlich,226,0,desirée56@live.com.br
1951,Trim 1,fevereiro,5,Feminino,Jessica Ferreira,521,0,jessica28@terra.com
1951,Trim 1,fevereiro,28,Masculino,Rafael Carneiro,106,0,rafael45@yahoo.com.br
1951,Trim 1,março,7,Masculino,Gabriel Brito,531,1,gabriel3@msn.com
1951,Trim 2,abril,13,Feminino,Thainá Binello,624,0,thainá29@outlook.com
1951,Trim 2,abril,14,Masculino,Giuseppe Borges,308,2,giuseppe68@uol.com
1951,Trim 2,maio,9,Masculino,Gustavo Erthal,507,0,gustavo48@live.com
1951,Trim 2,junho,3,Masculino,José Fonseca,325,0,josé39@hotmail.com
1951,Trim 3,julho,8,Masculino,Pedro Chou,745,0,pedro40@icloud.com.br
1951,Trim 3,julho,24,Masculino,Carlos Melo,161,0,carlos19@msn.com
1951,Trim 3,agosto,29,Masculino,Cícero Lima,40,2,cícero39@msn.com
1951,Trim 4,novembro,9,Feminino,Bruna Miranda,734,0,bruna13@msn.com
1951,Trim 4,novembro,25,Masculino,Rilson Dias,229,2,rilson58@outlook.com
1951,Trim 4,dezembro,10,Feminino,Fernanda Rubim,822,1,fernanda7@terra.com
1951,Trim 4,dezembro,26,Feminino,Isabela Resende,32,0,isabela3@live.com.br
1952,Trim 1,janeiro,12,Feminino,Elena Barreto,101,0,elena53@uol.com.br
1952,Trim 1,janeiro,31,Masculino,José Seixas,392,0,josé14@gmail.com.br
1952,Trim 1,março,2,Masculino,Lucas Coelho,362,0,lucas17@hotmail.com.br
1952,Trim 2,maio,13,Masculino,João Siqueira,214,0,joão28@gmail.com.br
1952,Trim 2,junho,2,Feminino,Viviane Cunha,110,2,viviane30@hotmail.com
1952,Trim 2,junho,6,Masculino,Wilson Brandão,687,0,wilson47@yahoo.com.br
1952,Trim 2,junho,8,Masculino,Eduardo Quindeler,668,1,eduardo30@hotmail.com.br
1952,Trim 3,julho,15,Feminino,Kim Ferreira,152,0,kim50@icloud.com.br
1952,Trim 4,outubro,13,Masculino,Victor Oliveira,756,4,victor4@gmail.com.br
1952,Trim 4,novembro,7,Feminino,Camille Silva,523,0,camille43@live.com.br
1952,Trim 4,dezembro,5,Masculino,Matheus Silva,621,5,matheus33@icloud.com.br
1952,Trim 4,dezembro,30,Feminino,Maria Fernandes,764,1,maria62@hotmail.com.br
1953,Trim 1,fevereiro,5,Feminino,Juliana Guimarães,286,0,juliana49@hotmail.com.br
1953,Trim 1,fevereiro,16,Masculino,Renan Firmino,401,2,renan63@gmail.com
1953,Trim 1,fevereiro,27,Masculino,José Jesus,194,0,josé5@yahoo.com
1953,Trim 2,abril,9,Masculino,Thiago Costa,73,5,thiago16@gmail.com
1953,Trim 2,abril,29,Feminino,Natalia Andrade,213,2,natalia4@uol.com
1953,Trim 2,maio,9,Feminino,Juliana Souza,49,1,juliana44@uol.com
1953,Trim 2,maio,29,Masculino,Nicolas Monteiro,220,2,nicolas12@uol.com.br
1953,Trim 2,junho,6,Feminino,Júlia Almeida,136,3,júlia64@yahoo.com.br
1953,Trim 3,julho,29,Masculino,Juan Vasconcelos,747,0,juan37@uol.com
1953,Trim 3,agosto,12,Masculino,João Capitulo,178,0,joão14@gmail.com
1953,Trim 4,outubro,7,Feminino,Izabel Miura,346,0,izabel24@hotmail.com.br
1953,Trim 4,novembro,1,Masculino,Tiago Pereira,16,0,tiago48@icloud.com.br
1953,Trim 4,novembro,27,Masculino,Luiz Marinho,616,3,luiz27@icloud.com
1953,Trim 4,dezembro,15,Masculino,Matheus Moraes,141,2,matheus26@msn.com.br
1954,Trim 1,março,1,Masculino,Bruno Silva,133,3,bruno54@outlook.com
1954,Trim 1,março,15,Masculino,Vittorio Freitas,230,1,vittorio4@terra.com
1954,Trim 2,abril,6,Feminino,Luiza Johnson,436,0,luiza66@uol.com.br
1954,Trim 2,abril,7,Feminino,Carolina Santos,650,0,carolina19@terra.com.br
1954,Trim 2,abril,29,Masculino,Roger Rosa,239,0,roger64@uol.com
1954,Trim 2,maio,12,Masculino,Hércules Moreira,782,0,hércules67@live.com
1954,Trim 3,agosto,21,Masculino,Alon Guedes,739,2,alon69@yahoo.com.br
1954,Trim 3,setembro,20,Feminino,Amanda Braga,83,0,amanda57@msn.com.br
1954,Trim 4,outubro,11,Masculino,Fillipe Almeida,418,0,fillipe17@icloud.com
1954,Trim 4,outubro,22,Masculino,Alon Fahrnholz,791,4,alon70@uol.com
1954,Trim 4,outubro,24,Feminino,Ives Teixeira,80,3,ives34@gmail.com
1954,Trim 4,outubro,29,Feminino,Julia Ribeiro,730,0,julia24@outlook.com
1954,Trim 4,novembro,7,Masculino,Thales Portillo,538,4,thales18@hotmail.com
1954,Trim 4,novembro,8,Masculino,Lucas Assunção,182,0,lucas33@terra.com.br
1954,Trim 4,dezembro,12,Masculino,João Aires,14,1,joão17@live.com
1955,Trim 1,janeiro,6,Masculino,Bernardo Borges,615,0,bernardo31@outlook.com
1955,Trim 1,janeiro,20,Feminino,Natalia Marinho,7,4,natalia44@icloud.com
1955,Trim 1,janeiro,28,Feminino,Adriane Gomes,361,0,adriane42@uol.com
1955,Trim 1,fevereiro,12,Feminino,Daniela Andrada,415,1,daniela33@uol.com.br
1955,Trim 1,março,4,Feminino,Marina Delgado,334,0,marina18@gmail.com.br
1955,Trim 1,março,24,Feminino,Clarissa Santos,495,4,clarissa62@terra.com.br
1955,Trim 2,abril,25,Masculino,Lázaro Villanova,142,0,lázaro48@uol.com.br
1955,Trim 2,maio,21,Feminino,Natalia Guedes,24,1,natalia20@outlook.com
1955,Trim 2,maio,24,Masculino,Brenno Santos,395,0,brenno21@live.com
1955,Trim 2,junho,8,Masculino,Luiz Almeida,497,2,luiz54@live.com.br
1955,Trim 3,julho,3,Masculino,Victor Gomes,724,0,victor26@icloud.com.br
1955,Trim 3,julho,15,Masculino,Matheus Sapir,795,3,matheus17@uol.com
1955,Trim 3,julho,19,Masculino,Diogo Ressurreição,746,1,diogo5@yahoo.com.br
1955,Trim 3,julho,24,Masculino,Eric Carvalho,585,0,eric22@icloud.com.br
1955,Trim 3,agosto,24,Feminino,Juliana Mesquita,53,1,juliana41@terra.com.br
1955,Trim 3,setembro,15,Feminino,Maria Gasperi,78,0,maria6@terra.com.br
1955,Trim 4,outubro,21,Masculino,Raul Silveira,461,0,raul31@gmail.com
1955,Trim 4,novembro,3,Masculino,João Silva,331,0,joão5@outlook.com
1955,Trim 4,novembro,17,Masculino,Ulisses Filho,396,0,ulisses54@uol.com
1955,Trim 4,novembro,18,Masculino,Eduardo Silva,13,0,eduardo57@live.com.br
1956,Trim 1,janeiro,24,Feminino,Bruna Silveira,72,2,bruna29@msn.com.br
1956,Trim 1,março,29,Feminino,Luíza Goulart,528,3,luíza25@outlook.com
1956,Trim 2,junho,14,Masculino,Thiago Nóbrega,304,2,thiago13@uol.com
1956,Trim 2,junho,22,Masculino,Allan Candido,558,1,allan46@terra.com.br
1956,Trim 3,julho,10,Feminino,Camilla Vieira,501,2,camilla31@outlook.com.br
1956,Trim 3,julho,10,Masculino,Ulisses Quinto,688,2,ulisses15@icloud.com.br
1956,Trim 3,julho,16,Masculino,João Pedrazza,405,3,joão20@uol.com.br
1956,Trim 3,julho,18,Masculino,Anderson Martins,91,2,anderson45@yahoo.com
1956,Trim 4,outubro,10,Feminino,Juliana Correa,44,2,juliana64@live.com
1956,Trim 4,novembro,4,Masculino,Gustavo Junior,97,1,gustavo17@gmail.com
1956,Trim 4,novembro,18,Masculino,Itai Puntel,449,0,itai19@terra.com
1956,Trim 4,novembro,26,Masculino,Lázaro Nascimento,626,2,lázaro48@terra.com
1956,Trim 4,dezembro,16,Masculino,Caio Moraes,79,2,caio63@msn.com
1956,Trim 4,dezembro,30,Feminino,Marina Miranda,800,0,marina29@msn.com
1957,Trim 1,janeiro,4,Masculino,Sthefeson Pereira,1,4,sthefeson8@icloud.com
1957,Trim 2,abril,6,Feminino,Gabrielle Wanderley,486,2,gabrielle63@hotmail.com.br
1957,Trim 2,abril,30,Masculino,Renan Freire,283,0,renan10@hotmail.com.br
1957,Trim 2,maio,14,Feminino,Anna Silva,412,2,anna12@live.com.br
1957,Trim 3,julho,16,Masculino,Gabriel Rubim,576,1,gabriel48@live.com.br
1957,Trim 3,setembro,15,Feminino,Marina Gama,433,1,marina56@icloud.com.br
1957,Trim 3,setembro,25,Masculino,Carlos Cardoso,378,0,carlos30@live.com
1957,Trim 4,outubro,27,Feminino,Andressa Nóbrega,232,1,andressa41@live.com
1957,Trim 4,novembro,6,Masculino,Cézar Santos,248,3,cézar7@gmail.com
1957,Trim 4,dezembro,27,Feminino,Carolina Brum,595,1,carolina34@uol.com.br
1957,Trim 4,dezembro,30,Masculino,Ruan Gonçalves,552,0,ruan10@outlook.com.br
1958,Trim 1,janeiro,2,Masculino,Felipe Paulo,541,0,felipe45@icloud.com.br
1958,Trim 1,fevereiro,1,Feminino,Maria Moita,76,0,maria27@yahoo.com
1958,Trim 1,fevereiro,16,Feminino,Juliana Pacheco,368,1,juliana50@gmail.com.br
1958,Trim 1,março,18,Feminino,Raísa Rodrigues,500,0,raísa10@live.com
1958,Trim 1,março,27,Masculino,Victor Zakhm,550,1,victor40@live.com.br
1958,Trim 2,abril,30,Feminino,Milena Alcoforado,237,0,milena60@gmail.com.br
1958,Trim 2,maio,15,Masculino,Ian Almeida,118,2,ian41@uol.com.br
1958,Trim 2,junho,3,Feminino,Deysiane Bach,760,4,deysiane57@gmail.com.br
1958,Trim 2,junho,3,Masculino,Carlos Assis,431,0,carlos17@msn.com
1958,Trim 3,julho,30,Feminino,Daniela Rosa,359,0,daniela53@outlook.com
1958,Trim 3,agosto,21,Feminino,Aline Andrade,490,0,aline16@terra.com
1958,Trim 3,agosto,23,Feminino,Maria Mello,646,1,maria64@live.com.br
1958,Trim 3,setembro,9,Feminino,Paula Silva,645,1,paula27@icloud.com.br
1958,Trim 4,outubro,7,Feminino,Milena Pereira,686,1,milena25@msn.com
1958,Trim 4,outubro,22,Masculino,Lucas Reis,483,0,lucas60@yahoo.com.br
1958,Trim 4,outubro,23,Masculino,Daniel Costa,801,3,daniel36@yahoo.com
1958,Trim 4,novembro,5,Feminino,Ana Leite,649,1,ana50@yahoo.com.br
1958,Trim 4,dezembro,3,Masculino,Lucas Freire,630,5,lucas26@uol.com
1958,Trim 4,dezembro,13,Feminino,Wen Braga,255,1,wen46@uol.com.br
1959,Trim 1,janeiro,11,Masculino,Jonatas Essaber,803,0,jonatas15@msn.com
1959,Trim 1,março,15,Masculino,Henrique Villanova,251,0,henrique36@live.com
1959,Trim 1,março,30,Feminino,Maria Junior,381,0,maria47@uol.com
1959,Trim 2,abril,27,Feminino,Marcela Johnson,432,0,marcela27@outlook.com
1959,Trim 2,maio,6,Feminino,Rafaela Gonçalves,699,3,rafaela49@live.com.br
1959,Trim 2,junho,8,Masculino,Alvaro Ferreira,634,1,alvaro21@terra.com.br
1959,Trim 3,julho,19,Feminino,Nina Magalhães,57,1,nina61@hotmail.com
